tag_pk 	tag_title 	variable_phv 	variable_full_accession 	dataset_full_accession 	study_full_accession 	study_name 	study_phs 	study_version 	created 	modified 
1	LDL in blood	82951	phv00082951.v1.p3	pht001111.v4.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2017-12-20 22:10:23+00:00	2017-12-20 22:10:23+00:00 
1	LDL in blood	84971	phv00084971.v2.p3	pht001116.v10.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2017-12-20 22:10:23+00:00	2017-12-20 22:10:23+00:00 
1	LDL in blood	87098	phv00087098.v1.p3	pht001121.v3.p3	phs000209.v13.p3	Multi-Ethnic Study of Atherosclerosis (MESA)	209	13	2017-12-20 22:10:23+00:00	2017-12-20 22:10:23+00:00 
1	LDL in blood	253017	phv00253017.v1.p1	pht005002.v1.p1	phs000956.v2.p1	Genetics of Cardiometabolic Health in the Amish	956	2	2017-12-22 18:09:21+00:00	2017-12-22 18:09:21+00:00 
1	LDL in blood	125931	phv00125931.v1.p1	pht001945.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2017-12-22 18:14:28+00:00	2017-12-22 18:14:28+00:00 
1	LDL in blood	126042	phv00126042.v1.p1	pht001949.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2017-12-22 18:14:28+00:00	2017-12-22 18:14:28+00:00 
1	LDL in blood	126047	phv00126047.v1.p1	pht001949.v1.p1	phs000286.v5.p1	Jackson Heart Study	286	5	2017-12-22 18:14:28+00:00	2017-12-22 18:14:28+00:00 
1	LDL in blood	204764	phv00204764.v1.p1	pht004063.v1.p1	phs000280.v3.p1	Atherosclerosis Risk in Communities (ARIC)	280	3	2017-12-22 22:54:23+00:00	2017-12-22 22:54:23+00:00 
1	LDL in blood	100492	phv00100492.v1.p1	pht001452.v1.p1	phs000287.v6.p1	Cardiovascular Health Study (CHS)	287	6	2017-12-22 22:59:20+00:00	2017-12-22 22:59:20+00:00 
1	LDL in blood	258740	phv00258740.v1.p1	pht005253.v1.p1	phs000914.v1.p1	GWAS of Adiposity in Samoans	914	1	2017-12-22 23:07:14+00:00	2017-12-22 23:07:14+00:00 
1	LDL in blood	123971	phv00123971.v1.p1	pht001902.v1.p1	phs000284.v1.p1	Cleveland Family Study	284	1	2017-12-22 23:08:47+00:00	2017-12-22 23:08:47+00:00 
1	LDL in blood	193862	phv00193862.v3.p3	pht003419.v3.p3	phs000200.v11.p3	Women's Health Initiative (WHI)	200	11	2018-01-12 23:42:13+00:00	2018-01-12 23:42:13+00:00 
1	LDL in blood	282937	phv00282937.v1.p3	pht003419.v3.p3	phs000200.v11.p3	Women's Health Initiative (WHI)	200	11	2018-01-12 23:44:11+00:00	2018-01-12 23:44:11+00:00 
1	LDL in blood	1206	phv00001206.v1.p10	pht000011.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 19:17:27+00:00	2018-03-02 19:17:27+00:00 
1	LDL in blood	1381	phv00001381.v1.p10	pht000012.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 19:17:50+00:00	2018-03-02 19:17:50+00:00 
1	LDL in blood	1401	phv00001401.v1.p10	pht000012.v3.p10	phs000007.v29.p10	Framingham Heart Study	7	29	2018-03-02 19:18:20+00:00	2018-03-02 19:18:20+00:00 
